model,best_params,accuracy,precision,recall,f1,roc_auc
Bagging,"{'model__max_samples': 1.0, 'model__n_estimators': 50}",0.925280199252802,0.9203539823008849,0.6709677419354839,0.7761194029850746,0.9723416965352449
XGBoost,"{'model__max_depth': 5, 'model__n_estimators': 200}",0.9215442092154421,0.8709677419354839,0.6967741935483871,0.7741935483870968,0.9448327359617682
DecisionTree,"{'model__max_depth': None, 'model__min_samples_split': 2}",0.9053549190535491,0.7423312883435583,0.7806451612903226,0.7610062893081762,0.857915173237754
RandomForest,"{'model__max_depth': 10, 'model__n_estimators': 200}",0.8978829389788294,0.7967479674796748,0.632258064516129,0.7050359712230215,0.9266427718040622
GradientBoosting,"{'model__learning_rate': 0.1, 'model__n_estimators': 200}",0.8841843088418431,0.8522727272727273,0.4838709677419355,0.6172839506172839,0.8718438868976504
AdaBoost,"{'model__learning_rate': 1.0, 'model__n_estimators': 100}",0.8393524283935243,0.7241379310344828,0.2709677419354839,0.39436619718309857,0.808368180007965
